name,url,vis,species
dixon2012-h1hesc-hindiii-allreps-filtered.1000kb.multires.cool,https://s3.amazonaws.com/pkerp/public/dixon2012-h1hesc-hindiii-allreps-filtered.1000kb.multires.cool,hg,mouse?
wgEncodeCaltechRnaSeqHuvecR1x75dTh1014IlnaPlusSignalRep2.hitile,https://s3.amazonaws.com/pkerp/public/wgEncodeCaltechRnaSeqHuvecR1x75dTh1014IlnaPlusSignalRep2.hitile,hg,mouse?
Dixon2012-J1-NcoI-R1-filtered.100kb.multires.cool,https://s3.amazonaws.com/pkerp/public/Dixon2012-J1-NcoI-R1-filtered.100kb.multires.cool,hg,mouse?
gene_annotations.short.db,https://s3.amazonaws.com/pkerp/public/gene_annotations.short.db,hg,mouse?
cnv_short.hibed,https://s3.amazonaws.com/pkerp/public/cnv_short.hibed,hg,mouse?
arrowhead_domains_short.txt.multires.db,https://s3.amazonaws.com/pkerp/public/arrowhead_domains_short.txt.multires.db,hg,mouse?
hiccups_loops_short.txt.multires.db,https://s3.amazonaws.com/pkerp/public/hiccups_loops_short.txt.multires.db,hg,mouse?
G15509.K-562.2_sampleDown.multires.cool,https://s3.amazonaws.com/pkerp/public/G15509.K-562.2_sampleDown.multires.cool,hg,mouse?
chromSizes.tsv,https://s3.amazonaws.com/pkerp/public/chromSizes.tsv,hg,mouse?
gene-annotations-mm9.db,https://s3.amazonaws.com/pkerp/public/gene-annotations-mm9.db,hg,mouse?
Rao_RepH_GM12878_InsulationScore.txt.multires.db,https://s3.amazonaws.com/pkerp/public/Rao_RepH_GM12878_InsulationScore.txt.multires.db,hg,mouse?
hic-resolutions.cool,https://s3.amazonaws.com/pkerp/public/hic-resolutions.cool,hg,mouse?
wgEncodeCaltechRnaSeqHuvecR1x75dTh1014IlnaPlusSignalRep2.bigWig,https://s3.amazonaws.com/pkerp/public/wgEncodeCaltechRnaSeqHuvecR1x75dTh1014IlnaPlusSignalRep2.bigWig,hg,mouse?
wgEncodeCaltechRnaSeqHuvecR1x75dTh1014IlnaPlusSignalRep2.hitile,https://s3.amazonaws.com/pkerp/public/wgEncodeCaltechRnaSeqHuvecR1x75dTh1014IlnaPlusSignalRep2.hitile,hg,mouse?
chr21.KL.bed.multires.mv5,https://s3.amazonaws.com/pkerp/public/chr21.KL.bed.multires.mv5,hg,mouse?
sample.bed.multires.mv5,https://s3.amazonaws.com/pkerp/public/sample.bed.multires.mv5,hg,mouse?
984627_PM16-00568-A_SM-9J5GB.beddb,https://s3.amazonaws.com/pkerp/public/984627_PM16-00568-A_SM-9J5GB.beddb,hg,mouse?
